decomposer,dataset,ACC,CC,EDy_EMD,EDy_Eu,"IBU (o=0, i=0.01)","IBU (o=0, i=0.1)","IBU (o=1, i=0.01)","IBU (o=1, i=0.1)",PACC,PCC,PDF_EMD,RUN (tau=1.0),RUN (tau=10.0),RUN (tau=100.0),SLD,SVD (tau=0.001),SVD (tau=0.01),SVD (tau=0.1),o-ACC (tau=0.001),o-ACC (tau=0.01),o-ACC (tau=0.1),"o-EDy (tau=0.001, d=EMD)","o-EDy (tau=0.01, d=EMD)","o-EDy (tau=0.1, d=EMD)","o-HDx (tau=0.001, 16 bins per feature)","o-HDx (tau=0.001, 8 bins per feature)","o-HDx (tau=0.1, 16 bins per feature)","o-HDx (tau=0.1, 8 bins per feature)","o-HDy (tau=0.001, 4 bins per class)","o-HDy (tau=0.001, 8 bins per class)","o-HDy (tau=0.1, 4 bins per class)","o-HDy (tau=0.1, 8 bins per class)",o-PACC (tau=0.001),o-PACC (tau=0.01),o-PACC (tau=0.1),"o-PDF (tau=0.001, J=100, d=s-EMD)","o-PDF (tau=0.01, J=100, d=s-EMD)","o-PDF (tau=0.1, J=100, d=s-EMD)","o-SLD (o=0, i=0.01)","o-SLD (o=0, i=0.1)","o-SLD (o=1, i=0.01)","o-SLD (o=1, i=0.1)",error
Monotone,SWD,0.11729,0.09599,0.08552,0.07682,0.09977,0.08953,0.10027,0.09117,0.08016,0.11756,0.10564,0.10985,0.10021,0.10011,0.23875,0.11228,0.10168,0.09943,0.11441,0.10292,0.1001,0.08589,0.08576,0.09744,0.10812,0.10879,0.10146,0.10145,0.0971,0.11988,0.08969,0.10238,0.0781,0.08881,0.10332,0.10241,0.09822,0.08919,0.23557,0.21567,0.23591,0.21822,mae
Monotone,SkillCraft1_rev_7clases,0.09501,0.07978,0.08003,0.08453,0.06226,0.06124,0.06243,0.06174,0.09553,0.08312,0.08172,0.08296,0.06831,0.06245,0.1746,0.07381,0.06328,0.06373,0.07615,0.06438,0.06417,0.06598,0.06071,0.06305,0.10274,0.09922,0.08006,0.07367,0.08505,0.07876,0.06099,0.06149,0.06564,0.06547,0.06959,0.07486,0.06597,0.06109,0.16895,0.14612,0.16864,0.14521,mae
Monotone,SkillCraft1_rev_8clases,0.08494,0.0622,0.06695,0.07121,0.05788,0.05405,0.05785,0.05432,0.0816,0.06859,0.07127,0.07803,0.06392,0.0552,0.15776,0.06919,0.05701,0.05687,0.07063,0.05734,0.05735,0.05662,0.05264,0.05623,0.0829,0.08434,0.06149,0.05941,0.07409,0.06905,0.0544,0.05446,0.05478,0.05707,0.06149,0.0644,0.05663,0.05289,0.15343,0.13283,0.15344,0.13279,mae
Monotone,abalone.ord_chu,0.08242,0.05272,0.06086,0.06301,0.05957,0.04933,0.05989,0.04995,0.07645,0.05631,0.06847,0.07973,0.07081,0.06083,0.10519,0.07364,0.06177,0.05664,0.0734,0.06202,0.05716,0.05519,0.05252,0.05417,0.08063,0.08605,0.07106,0.07004,0.0718,0.0618,0.056,0.05249,0.05366,0.05333,0.05475,0.06878,0.05955,0.05408,0.10308,0.09359,0.10268,0.09276,mae
Monotone,ailerons_gago,0.07118,0.05616,0.04872,0.048,0.04508,0.04829,0.04508,0.04859,0.05925,0.06178,0.05543,0.0663,0.05369,0.04683,0.10885,0.05412,0.04699,0.05094,0.05344,0.047,0.05069,0.04033,0.04367,0.05025,0.06745,0.07276,0.06099,0.06661,0.05308,0.04829,0.04425,0.04428,0.04446,0.05037,0.0553,0.04635,0.04153,0.04461,0.10151,0.07599,0.10141,0.07557,mae
Monotone,auto.data.ord_chu,0.09395,0.06977,0.06579,0.07099,0.07826,0.06373,0.07824,0.06416,0.08351,0.06731,0.07128,0.08422,0.06804,0.06562,0.07125,0.08833,0.07462,0.06582,0.0896,0.07524,0.06467,0.06679,0.06,0.06206,0.08711,0.0864,0.07254,0.06953,0.08179,0.07361,0.06349,0.06383,0.07072,0.06122,0.0645,0.07997,0.07733,0.06719,0.06698,0.0574,0.06698,0.05761,mae
Monotone,bostonhousing.ord_chu,0.05233,0.05603,0.04385,0.04608,0.04875,0.04596,0.04886,0.04647,0.05183,0.07635,0.04632,0.05048,0.05095,0.06719,0.09098,0.05164,0.05051,0.05999,0.052,0.05018,0.05805,0.04354,0.04529,0.06455,0.07126,0.07168,0.0755,0.07326,0.05389,0.05299,0.05647,0.06112,0.05042,0.05219,0.06945,0.06433,0.06379,0.06299,0.08783,0.07826,0.08791,0.07916,mae
Monotone,californiahousing_gago,0.02181,0.05696,0.01606,0.01471,0.02022,0.03741,0.02022,0.03802,0.01651,0.07402,0.01892,0.02148,0.02067,0.02585,0.12927,0.02042,0.03129,0.05419,0.02052,0.03099,0.05388,0.02081,0.04066,0.06022,0.04175,0.04714,0.05837,0.05801,0.01619,0.01475,0.03216,0.03236,0.03117,0.0491,0.06655,0.01831,0.0216,0.04025,0.1208,0.09101,0.1203,0.09029,mae
Monotone,cement_strength_gago,0.0446,0.05163,0.03896,0.03857,0.04008,0.03932,0.04011,0.03952,0.0403,0.07688,0.0418,0.04261,0.0405,0.05862,0.05604,0.04311,0.04067,0.0554,0.04376,0.04048,0.05512,0.03845,0.04528,0.06554,0.08609,0.09618,0.08517,0.08818,0.04032,0.03813,0.04741,0.04938,0.03831,0.04635,0.06965,0.04269,0.04209,0.04497,0.05315,0.04773,0.0532,0.04818,mae
Monotone,kinematics_gago,0.0662,0.05895,0.04585,0.04418,0.04632,0.0539,0.0463,0.05425,0.06612,0.06996,0.05329,0.05993,0.05001,0.05027,0.05329,0.05026,0.05039,0.05612,0.04974,0.05047,0.05597,0.04701,0.05185,0.05784,0.06938,0.07283,0.06236,0.06088,0.06536,0.06276,0.05271,0.05302,0.05057,0.05628,0.06244,0.05547,0.04971,0.05286,0.04968,0.052,0.04986,0.05358,mae
Monotone,skill_gago,0.1043,0.08278,0.07868,0.085,0.07175,0.06414,0.07179,0.06457,0.10321,0.08457,0.07896,0.0941,0.07891,0.06816,0.16312,0.08507,0.07127,0.06772,0.08762,0.07124,0.06599,0.06917,0.06303,0.06319,0.1025,0.09807,0.07864,0.07203,0.0926,0.08184,0.06419,0.0636,0.06882,0.06584,0.0693,0.07829,0.06878,0.06318,0.15709,0.13526,0.15683,0.13437,mae
Monotone,stock.ord,0.01908,0.022,0.01693,0.01697,0.0173,0.01699,0.01729,0.01699,0.01731,0.03319,0.01666,0.0177,0.01807,0.03874,0.01411,0.01859,0.01858,0.03503,0.01893,0.01845,0.03419,0.01538,0.01753,0.04567,0.0259,0.02828,0.0425,0.04171,0.01531,0.01752,0.02377,0.03101,0.01714,0.01752,0.04035,0.01934,0.01931,0.02029,0.01367,0.01293,0.01367,0.01293,mae
